player_id,player_name,domestic_competition_id,current_club_id,club_name,primary_position,nationality,age,birth_year,height_cm,market_value_eur,contract_expires
721,Rubén Duarte,ES1,368,Alavés,Left-Back,Spain,21,1995,179,2000000,-
2512,Samuel Umtiti,ES1,131,FC Barcelona,Centre-Back,France,23,1993,182,60000000,-
882,Manu García,ES1,368,Alavés,Defensive Midfield,Spain,31,1986,183,1800000,-
940,Ibai Gómez,ES1,368,Alavés,Right Winger,Spain,27,1989,178,3500000,-
1002,John Guidetti,ES1,368,Alavés,Centre-Forward,Sweden,25,1992,185,5000000,-
1027,Munir El Haddadi,ES1,368,Alavés,Centre-Forward,Spain,21,1995,175,12000000,-
1072,Héctor Hernández,ES1,368,Alavés,Left-Back,Spain,26,1991,171,30000,-
1259,Aleksandar Katai,ES1,368,Alavés,Left Winger,Serbia,26,1991,182,1250000,-
1117,Mats Hummels,L1,27,Bayern Munich,Centre-Back,Germany,28,1988,191,60000000,-
1324,Kalidou Koulibaly,IT1,6195,Napoli,Centre-Back,Senegal,26,1991,187,60000000,-
1990,Paul Pogba,GB1,985,Manchester Utd,Central Midfield,France,24,1993,191,90000000,-
1885,Fernando Pacheco,ES1,368,Alavés,Goalkeeper,Spain,25,1992,185,9000000,-
1923,Alfonso Pedraza,ES1,368,Alavés,Left-Back,Spain,21,1996,184,5000000,-
1946,Hernán Pérez,ES1,368,Alavés,Right Winger,Paraguay,28,1989,180,1200000,-
2133,Óscar Romero,ES1,368,Alavés,Attacking Midfield,Paraguay,25,1992,176,4000000,-
2236,Christian Santos,ES1,368,Alavés,Centre-Forward,Venezuela,29,1988,184,1000000,-
2322,Antonio Sivera,ES1,368,Alavés,Goalkeeper,Spain,20,1996,185,1000000,-
2335,Rubén Sobrino,ES1,368,Alavés,Centre-Forward,Spain,25,1992,185,2000000,-
2562,Carlos Vigaray,ES1,368,Alavés,Right-Back,Spain,22,1994,182,80000,-
1559,Marquinhos,FR1,583,Paris S-G,Centre-Back,Brazil,23,1994,183,55000000,-
1375,Aymeric Laporte,ES1,331,Athletic Club,Centre-Back,France,23,1994,189,50000000,-
187,Sekou Baradji,FR1,1416,Amiens,Defensive Midfield,France,33,1984,183,20000,-
317,Mathieu Bodmer,FR1,1416,Amiens,Defensive Midfield,France,34,1982,190,50000,-
336,Jean-Christophe Bouet,FR1,1416,Amiens,Goalkeeper,France,34,1983,184,20000,-
341,Emmanuel Bourgaud,FR1,1416,Amiens,Right Midfield,France,29,1987,178,60000,-
492,Charly Charrier,FR1,1416,Amiens,Attacking Midfield,France,31,1986,181,50000,-
514,Issa Cissokho,FR1,1416,Amiens,Right-Back,Senegal,32,1985,173,50000,-
552,Quentin Cornette,FR1,1416,Amiens,Right Winger,France,23,1994,172,30000,-
1975,Gerard Piqué,ES1,131,FC Barcelona,Centre-Back,Spain,30,1987,194,50000000,-
698,Jean-Luc Dompé,FR1,1416,Amiens,Left Winger,France,21,1995,170,75000,-
1343,Toni Kroos,ES1,131,Real Madrid,Central Midfield,Germany,27,1990,183,80000000,-
864,Serge Gakpé,FR1,1416,Amiens,Right Winger,Togo,30,1987,176,90000,-
961,Georges Gope-Fenepej,FR1,1416,Amiens,Left Midfield,N. Caledonia,28,1988,182,30000,-
1016,Régis Gurtner,FR1,1416,Amiens,Goalkeeper,France,30,1986,182,3000000,-
1032,Oualid El Hajjam,FR1,1416,Amiens,Right-Back,Morocco,26,1991,181,1000000,-
1132,Julien Ielsch,FR1,1416,Amiens,Left-Back,France,34,1983,173,25000,-
1239,Gaël Kakuta,FR1,1416,Amiens,Attacking Midfield,DR Congo,26,1991,173,6000000,-
1312,Moussa Konaté,FR1,1416,Amiens,Centre-Forward,Senegal,24,1993,183,6000000,-
1356,Brighton Labeau,FR1,1416,Amiens,Centre-Forward,France,21,1996,181,15000,-
1537,Harrison Manzala,FR1,1416,Amiens,Right Winger,DR Congo,23,1994,177,1500000,-
1639,Stiven Mendoza,FR1,1416,Amiens,Left Winger,Colombia,25,1992,172,1250000,-
1692,Thomas Monconduit,FR1,1416,Amiens,Defensive Midfield,France,26,1991,184,3000000,-
1778,Nathan,FR1,1416,Amiens,Attacking Midfield,Brazil,21,1996,177,1000000,-
1307,Koke,ES1,13,Atlético Madrid,Central Midfield,Spain,25,1992,176,70000000,-
89,Yoann Andreu,FR1,1420,Angers,Left-Back,France,28,1989,178,1750000,-
180,Abdoulaye Bamba,FR1,1420,Angers,Right-Back,Ivory Coast,27,1990,182,1000000,-
386,Ludovic Butelle,FR1,1420,Angers,Goalkeeper,France,34,1983,188,50000,-
434,Pierrick Capelle,FR1,1420,Angers,Left Midfield,France,30,1987,181,1000000,-
